country,hdi.rank,hdi.gii,hdi.f,hdi.m,hdi.r,le.f,le.m,gni.f,gni.m,taxes,cpi,hom,sat,free,trust
Norway,1,0.068,0.940,0.943,0.997,83.6,79.4,56994,70807,33.0,114,2.3,7.7,92,66
Australia,2,0.113,0.920,0.944,0.975,84.8,80.3,35551,47553,63.6,122,1.1,7.2,93,42
Switzerland,3,0.030,0.895,0.939,0.953,84.9,80.2,42561,65278,24.2,104,0.6,7.8,94,77
Netherlands,4,0.057,0.899,0.929,0.968,82.9,79.1,34497,50432,25.2,113,0.9,7.5,87,57
United States,5,0.262,0.911,0.915,0.995,81.3,76.5,41792,63163,54.9,118,4.7,7.0,82,35
Germany,6,0.046,0.892,0.928,0.962,83.1,78.3,33028,53445,15.4,113,0.8,6.7,90,52
New Zealand,7,0.185,0.896,0.923,0.971,83.0,79.2,26695,38656,45.8,121,0.9,7.2,90,61
Canada,8,0.136,0.893,0.906,0.986,83.6,79.3,34612,49272,53.3,114,1.5,7.4,92,52
Singapore,9,0.090,0.878,0.908,0.967,84.7,79.8,50001,95329,34.4,125,0.3,6.5,82,83
Denmark,10,0.056,0.895,0.906,0.989,81.5,77.3,37106,48742,38.9,117,0.8,7.5,92,53
Ireland,11,0.115,0.881,0.913,0.965,82.9,78.6,23872,43092,36.0,112,0.9,7.0,90,35
Sweden,12,0.054,0.898,0.894,1.004,83.9,79.7,38071,48365,11.2,112,0.9,7.6,93,63
Iceland,13,0.088,0.883,0.899,0.982,83.9,80.3,27612,42520,28.5,163,0.9,7.6,87,26
United Kingdom,14,0.193,0.887,0.894,0.993,82.5,78.6,27589,42632,35.6,123,1.2,6.9,88,42
"Hong Kong, China (SAR)",15,0,0.874,0.902,0.969,86.4,80.4,40051,66417,38.7,122,0.2,5.5,87,50
Korea (Republic of),15,0.101,0.860,0.915,0.940,84.8,78.1,21795,38990,30.3,123,2.6,6.0,59,23
Japan,17,0.138,0.863,0.907,0.951,87.0,80.1,22384,51906,42.9,99,0.3,6.0,70,17
Liechtenstein,18,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Israel,19,0.101,0.879,0.893,0.984,83.6,79.9,24636,35402,27.6,120,2.0,7.1,65,34
France,20,0.080,0.878,0.888,0.989,85.2,78.3,29580,44139,23.7,112,1.2,6.6,83,44
Austria,21,0.056,0.834,0.892,0.935,83.6,78.5,25170,61543,23.3,116,0.8,7.4,90,38
Belgium,21,0.068,0.866,0.887,0.977,83.1,78.0,30213,49077,35.4,118,1.8,6.9,82,44
Luxembourg,21,0.154,0.861,0.896,0.961,83.0,78.0,41351,76196,29.8,118,0.8,7.0,91,74
Finland,24,0.075,0.881,0.876,1.006,83.7,77.4,32123,42795,15.6,117,2.2,7.4,91,60
Slovenia,25,0.021,0.876,0.871,1.006,82.8,76.4,21762,31916,11.2,120,0.8,6.1,89,24
Italy,26,0.067,0.852,0.886,0.962,85.0,79.6,22303,43640,32.3,116,0.9,5.8,55,28
Spain,27,0.100,0.861,0.874,0.985,85.3,78.9,23487,37804,21.7,119,0.8,6.3,74,34
Czech Republic,28,0.087,0.844,0.871,0.969,80.7,74.6,16233,33098,14.5,121,0.8,6.3,71,17
Greece,29,0.146,0.833,0.868,0.959,83.1,78.4,17791,31707,17.0,123,1.6,5.1,36,13
Brunei Darussalam,30,0,0.839,0.856,0.981,80.5,76.7,52831,88468,0,107,0,0,0,0
Qatar,31,0.524,0.838,0.856,0.979,79.5,77.8,45863,141468,40.2,141,0.9,6.7,90,89
Cyprus,32,0.136,0.817,0.869,0.940,81.8,77.9,19787,33461,28.4,119,0.8,6.2,69,34
Estonia,33,0.154,0.856,0.821,1.042,79.6,69.1,19410,27985,8.0,138,4.8,5.4,65,27
Saudi Arabia,34,0.321,0.773,0.861,0.897,77.6,73.9,16197,78689,0,141,0,6.5,59,0
Lithuania,35,0.116,0.848,0.818,1.036,78.2,66.0,19588,28607,7.4,138,6.4,5.8,46,15
Poland,35,0.139,0.837,0.828,1.010,80.5,72.3,16462,26871,13.1,125,1.2,5.9,75,27
Andorra,37,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0
